"Year","Age","Sex","Rate"
2000,0,"Female",0.006499
2000,1,"Female",0.000461
2000,2,"Female",0.000306
2000,3,"Female",2e-04
2000,4,"Female",0.000187
2000,5,"Female",0.000163
2000,6,"Female",0.00014
2000,7,"Female",0.000147
2000,8,"Female",0.000128
2000,9,"Female",0.000128
2000,10,"Female",0.000122
2000,11,"Female",0.000148
2000,12,"Female",0.00014
2000,13,"Female",0.000173
2000,14,"Female",0.000221
2000,15,"Female",0.000274
2000,16,"Female",0.000369
2000,17,"Female",0.000402
2000,18,"Female",0.00047
2000,19,"Female",0.000447
2000,20,"Female",0.000458
2000,21,"Female",0.000482
2000,22,"Female",0.000468
2000,23,"Female",0.000466
2000,24,"Female",0.00046
2000,25,"Female",0.000489
2000,26,"Female",0.000499
2000,27,"Female",0.000535
2000,28,"Female",0.000547
2000,29,"Female",0.000579
2000,30,"Female",6e-04
2000,31,"Female",0.000674
2000,32,"Female",0.000735
2000,33,"Female",0.000805
2000,34,"Female",0.000862
2000,35,"Female",0.000923
2000,36,"Female",0.001011
2000,37,"Female",0.001144
2000,38,"Female",0.001231
2000,39,"Female",0.001356
2000,40,"Female",0.001458
2000,41,"Female",0.001606
2000,42,"Female",0.001697
2000,43,"Female",0.001905
2000,44,"Female",0.001996
2000,45,"Female",0.002178
2000,46,"Female",0.00228
2000,47,"Female",0.002513
2000,48,"Female",0.002719
2000,49,"Female",0.002904
2000,50,"Female",0.003172
2000,51,"Female",0.003395
2000,52,"Female",0.00378
2000,53,"Female",0.004142
2000,54,"Female",0.004548
2000,55,"Female",0.00495
2000,56,"Female",0.005551
2000,57,"Female",0.00603
2000,58,"Female",0.006656
2000,59,"Female",0.007274
2000,60,"Female",0.007889
2000,61,"Female",0.008932
2000,62,"Female",0.009733
2000,63,"Female",0.010495
2000,64,"Female",0.011599
2000,65,"Female",0.012629
2000,66,"Female",0.013952
2000,67,"Female",0.015083
2000,68,"Female",0.016469
2000,69,"Female",0.017769
2000,70,"Female",0.01941
2000,71,"Female",0.02111
2000,72,"Female",0.023568
2000,73,"Female",0.025535
2000,74,"Female",0.027957
2000,75,"Female",0.031395
2000,76,"Female",0.033912
2000,77,"Female",0.036978
2000,78,"Female",0.041699
2000,79,"Female",0.045775
2000,80,"Female",0.053991
2000,81,"Female",0.058024
2000,82,"Female",0.065224
2000,83,"Female",0.073005
2000,84,"Female",0.081779
2000,85,"Female",0.091903
2000,86,"Female",0.102398
2000,87,"Female",0.114789
2000,88,"Female",0.12711
2000,89,"Female",0.143318
2000,90,"Female",0.160459
2000,91,"Female",0.178442
2000,92,"Female",0.201878
2000,93,"Female",0.21991
2000,94,"Female",0.243682
2000,95,"Female",0.268924
2000,96,"Female",0.294775
2000,97,"Female",0.319593
2000,98,"Female",0.349967
2000,99,"Female",0.372497
2000,100,"Female",0.411846
2001,0,"Female",0.006229
2001,1,"Female",0.000468
2001,2,"Female",0.000298
2001,3,"Female",0.000226
2001,4,"Female",0.000181
2001,5,"Female",0.00015
2001,6,"Female",0.000146
2001,7,"Female",0.00014
2001,8,"Female",0.000123
2001,9,"Female",0.000135
2001,10,"Female",0.000117
2001,11,"Female",0.00013
2001,12,"Female",0.000147
2001,13,"Female",0.000161
2001,14,"Female",0.000211
2001,15,"Female",0.000251
2001,16,"Female",0.000373
2001,17,"Female",0.000435
2001,18,"Female",0.000419
2001,19,"Female",0.000433
2001,20,"Female",0.000444
2001,21,"Female",0.000478
2001,22,"Female",0.000435
2001,23,"Female",0.000493
2001,24,"Female",0.000481
2001,25,"Female",0.000515
2001,26,"Female",0.00051
2001,27,"Female",0.000553
2001,28,"Female",0.000584
2001,29,"Female",0.000623
2001,30,"Female",0.000654
2001,31,"Female",0.000658
2001,32,"Female",0.00076
2001,33,"Female",0.000821
2001,34,"Female",0.000878
2001,35,"Female",0.00096
2001,36,"Female",0.001061
2001,37,"Female",0.001153
2001,38,"Female",0.001304
2001,39,"Female",0.001411
